                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8846,                 4.2024,                 3.9101,                0.00083,                0.06939,                0.00059,                0.00017,                  5.035,                 4.1473,                 3.9385,             0.00065278,             0.00065278,             0.00065278
                      2,                 3.6888,                 3.0161,                 3.1133,                0.00174,                0.14498,                0.00115,                0.00033,                 4.5313,                 3.8602,                 3.6156,              0.0013064,              0.0013064,              0.0013064
                      3,                 3.2494,                  2.546,                 2.6984,                0.30488,                0.27138,                0.17737,                0.04481,                 2.9495,                 4.1474,                 2.7355,              0.0019468,              0.0019468,              0.0019468
                      4,                 2.8923,                 2.2891,                  2.419,                0.29066,                0.38438,                0.23016,                0.06836,                 2.6417,                 2.5177,                 2.5347,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6334,                 2.1136,                 2.2246,                0.44566,                0.41884,                 0.3785,                0.13372,                 2.4539,                 2.3647,                 2.3086,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.4776,                 1.9336,                 2.1192,                0.48749,                0.46344,                0.40405,                0.12751,                 2.6023,                 2.0965,                 2.3607,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.3058,                 1.7715,                 1.9745,                0.54844,                0.50186,                0.48613,                0.19641,                 2.2756,                 1.9046,                 2.1655,               0.001901,               0.001901,               0.001901
                      8,                 2.2308,                 1.6793,                 1.9261,                0.57198,                0.51003,                0.50557,                0.19519,                 2.2672,                 1.8158,                 2.1293,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.1606,                 1.6146,                 1.8525,                0.54602,                0.50434,                 0.4893,                0.18782,                 2.3124,                 1.9013,                 2.1432,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.1166,                 1.5572,                 1.7965,                0.62615,                0.56451,                0.58536,                0.25709,                 2.0865,                 1.7641,                 1.9983,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.0743,                 1.5508,                  1.787,                0.64584,                0.62206,                0.63949,                0.29768,                 2.0359,                 1.6062,                 1.9583,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.0194,                 1.4997,                 1.7396,                0.63768,                0.57869,                0.59451,                0.24958,                 2.1429,                  1.671,                 2.0352,               0.001802,               0.001802,               0.001802
                     13,                 2.0053,                 1.4648,                 1.7161,                 0.6498,                0.57249,                0.59592,                0.26525,                 2.1107,                  1.652,                 1.9749,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.9721,                 1.4482,                 1.6915,                0.13931,                0.57993,                0.11484,                0.05199,                 2.0023,                  3.464,                 1.9508,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.9177,                 1.3979,                 1.6723,                0.67398,                0.63817,                0.65311,                0.29323,                  2.046,                 1.5776,                 1.9629,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.8771,                 1.3457,                  1.639,                0.66551,                0.66567,                0.67802,                0.32725,                 1.9679,                 1.4646,                 1.9303,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.8653,                 1.3293,                 1.6178,                0.66849,                0.66914,                0.67354,                0.32709,                 1.9517,                 1.4756,                 1.9283,               0.001703,               0.001703,               0.001703
                     18,                 1.8617,                 1.2835,                 1.6097,                0.63909,                0.67286,                0.65989,                0.31495,                 1.9892,                 1.5168,                   1.97,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.8425,                 1.2873,                  1.621,                0.69983,                0.61246,                0.65429,                0.30874,                 2.0554,                 1.5245,                 1.9716,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.8247,                 1.2443,                 1.5785,                0.64836,                0.65675,                0.66949,                0.32543,                 1.9249,                 1.4096,                 1.8774,              0.0016436,              0.0016436,              0.0016436
